diameter;anbefalt diameter;rett løft;snaret løft;u-løft;u-løft vinkel;direkte (15-45);snaret (15-45);direkte (46-60);snaret (46-60);direkte (15-45);snaret (15-45);direkte (46-60);snaret (46-60)
5;45;1.00;0.80;2.00;1.70;1.40;1.12;1.00;0.80;2.00;1.60;1.50;1.20
6;54;1.40;1.12;2.80;2.38;2.00;1.60;1.40;1.12;3.00;2.40;2.12;1.70
7;63;1.90;1.50;3.80;3.23;2.65;2.12;1.90;1.50;4.00;3.20;2.80;2.24
8;72;2.50;2.00;5.00;4.25;3.55;2.80;2.50;2.00;5.30;4.24;3.75;3.00
10;90;4.00;3.15;8.00;6.80;5.60;4.25;4.00;3.15;8.00;6.40;6.00;4.80
13;117;6.70;5.30;13.40;11.40;9.50;7.50;6.70;5.30;14.00;11.20;10.00;8.00
16;144;10.00;8.00;20.00;17.00;14.00;11.20;10.00;8.00;21.20;17.00;15.00;12.00
18;162;12.50;10.00;25.00;21.25;17.50;14.00;12.50;10.00;26.20;21.00;18.70;15.00
19;171;14.00;11.20;28.00;23.80;20.00;16.00;14.00;11.20;30.00;24.00;21.20;17.00
20;180;16.00;12.80;32.00;27.20;21.20;17.90;16.00;12.80;33.60;26.90;24.00;19.20
22;198;19.00;15.00;38.00;32.30;26.50;21.20;19.00;15.00;40.00;32.00;28.00;22.40
23;207;21.00;16.80;42.00;35.70;29.50;23.60;21.00;16.80;44.10;35.20;31.50;25.20
26;234;26.50;21.20;53.00;45.05;37.50;30.00;26.50;21.20;56.00;44.80;40.00;32.00
32;288;40.00;31.50;80.00;68.00;56.00;45.00;40.00;31.50;85.00;68.00;60.00;48.00
