diameter;anbefalt diameter;rett løft;snaret løft;u-løft;u-løft vinkel;direkte (15-45);snaret (15-45);direkte (46-60);snaret (46-60);direkte (15-45);snaret (15-45);direkte (46-60);snaret (46-60)
8;48;0.75;0.6;1.5;1.2;1.0;0.8;0.7;0.6;1.5;1.2;1.1;0.8
10;60;1.1;0.9;2.3;1.9;1.6;1.2;1.1;0.9;2.4;1.9;1.7;1.3
12;72;1.7;1.3;3.4;2.9;2.3;1.8;1.7;1.3;3.5;2.8;2.5;2.0
14;84;2.2;1.8;4.5;3.8;3.1;2.5;2.2;1.8;4.8;3.8;3.4;2.7
16;96;3.0;2.4;6.0;5.1;4.2;3.3;3.0;2.4;6.3;5.0;4.5;3.6
18;108;3.7;2.9;7.4;6.3;5.2;4.1;3.7;2.9;7.8;6.2;5.6;4.5
20;120;4.6;3.6;9.2;7.8;6.5;5.2;4.6;3.6;9.8;7.8;6.9;5.5
22;132;5.6;4.5;11.3;9.6;7.8;6.2;5.6;4.5;11.8;9.4;8.4;6.7
24;144;6.7;5.3;13.4;11.4;9.4;7.5;6.7;5.3;14.0;11.2;10.0;8.0
26;156;7.8;6.2;15.6;13.2;11.0;8.8;7.8;6.2;16.5;13.2;11.5;9.2
28;168;9.0;7.2;18.0;15.3;12.5;10.0;9.0;7.2;19.0;15.2;13.5;10.8
32;192;11.8;9.4;23.6;20.0;16.5;13.2;11.8;9.4;25.0;20.0;17.5;14.0
